ID	0h.a	0h.b	2h.a	2h.b	8h.a	8h.b	16h.a	16h.b
Cnr2	11.8107680327907	12.1317307617223	11.747779650355	12.5546432069273	10.9803146478678	10.238030266461	10.5429572596589	10.4037496715582
Cntrob	14.5794011409652	14.5817091978052	14.5876271823833	14.6460901860054	14.6569217033878	14.5105402056884	14.7581645819657	14.6482525956634
Cobll1	13.3899004330279	13.4870478466874	13.151634753203	13.2104516416369	13.2732148908224	13.2208613695942	13.2595257562407	13.2615571847055
Cog1	13.2125453766851	13.2460405201756	13.252783754395	13.443421797636	13.1687447380229	13.0006179288969	13.1006109781763	13.2047578427874
Cog3	14.1758338415356	13.9948068297496	14.0400083917771	14.0721048412691	14.0059565494686	13.9828143894754	13.9694379480837	14.0018765674696
Cog5	13.4970547024954	13.4970547024954	13.953462026518	13.4704068721702	13.468156767075	13.6233334132788	13.3117202527879	13.2279167076661
Col16a1	12.6935301111147	12.4801635045373	12.2936656283092	12.5429513058815	12.5100292564068	12.6782745447601	12.9902489403145	12.8051162264345
Col4a3bp	12.9635734628787	13.2139433276642	12.8587622692786	12.5145535082351	12.8550709177415	13.2551783099044	13.0684652566597	13.0710511630504
Col4a6	15.5540886965487	15.5899499743829	15.2580935341321	15.5564262909691	15.2886007558406	15.4583135463773	15.4244836533239	15.3640294752828
Col7a1	13.8976166414419	14.0305773077315	13.7508207625938	13.8914578726447	14.0236710547235	14.0648748042384	14.2256899843341	14.3617104817179
Comt	14.1007431678057	14.0803520820523	14.3899713028734	14.118347428928	14.2545693677486	14.3115810102506	14.2394077593493	14.0951724003394
Copg2	14.2445450905775	14.2837786097113	13.7110270000217	13.9845625801259	13.8268969577438	13.9105258294441	14.0479135544766	13.953462026518
Cops5	12.5437590682699	12.8266787810275	12.8051162264345	12.4296672143281	12.3838420261331	12.4420334119041	12.7917171582698	12.5382844184788
Cops7b	16.4683089131336	16.456673304204	16.4172425022989	16.4069893590541	16.2924998443382	16.4069893590541	16.4442982522251	16.2443242828171
Coq2	14.7215302652407	14.8189570855413	14.9222822237313	14.5589758339019	14.7226192239818	14.878633852275	14.7150471345885	14.6444415172047
Coq9	11.8902022390111	11.7914943764007	12.0159449752165	12.0305112554245	11.7696817249396	11.9205172110196	12.2383414502249	11.7736847466212
Coro2a	14.1718658767305	14.167752676676	14.2026297226084	14.0690900388176	13.9559435268039	14.0701971591065	13.9864098281419	13.9635707080413
Cotl1	16.9848166031491	16.8631590433409	16.669252368856	16.6161956727378	16.6161956727378	16.6526860075554	16.5044923544626	16.7262347099941
Cox4i1	14.7293094211076	14.7421743925337	14.7540776959833	14.8341476251379	14.8026587218921	14.8937873856432	14.9430761059881	14.8233074251431
Cpeb2	12.3609806414712	12.5319936195946	12.526268647636	12.0729034962414	12.2351991244834	12.2816763100759	12.5062928545066	12.3226276497362
Cpsf4	14.1723498365795	14.2143803540621	14.1226278370707	14.1651374746439	14.2256899843341	14.1007431678057	13.9939309339848	14.0256152295986
Cpsf7	12.8726507998684	12.8631035724061	12.6506452386458	12.2676454793104	13.0444253916882	13.0805057899277	12.7940663633247	12.7292137051484
Cpt1c	15.0243643232539	15.2541561953317	15.3138137167372	15.0473225851661	15.2526329101584	15.3677810462507	15.1703539908279	15.2389539321486
Cr1l	15.3531811627362	15.3759111787166	15.325233475076	15.2774247760472	15.1316368558015	15.2314574532695	15.2001877515286	15.0582948305872
Cramp1l	13.1667157972299	13.1865139388212	12.9875747067264	13.0701029232387	12.892428946835	13.0652135098345	13.151634753203	13.130560346409
Creb1	14.8317851980669	14.8870685820794	14.7561650602248	14.70213629903	14.8096036454259	14.8048514471379	14.7176759274529	14.6569217033878
Creb3l2	13.3461526369386	13.539879182361	13.473539814595	13.4476586139316	13.6421476375295	13.4704068721702	13.6892277555354	13.6456203776991
Crebbp	14.5370742286532	14.5885083946243	13.6688399683406	14.4318822160621	14.4670082830298	14.5166752583553	14.5280490453012	14.4246747696064
Crem	15.295211025835	15.3433475738735	15.1890238812884	15.2686404132771	15.2020528932238	15.2144749848338	15.144426753239	15.1457811047157
Crk	14.7883236592365	14.7636492315127	14.8937873856432	14.780151760407	14.878633852275	14.8233074251431	14.7322819320951	14.7002814612147
